Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
AAMP,1,0,1,1,3
AARS1,1,0,0,0,1
AARS2,1,0,0,1,2
AATF,1,0,0,1,2
ABCB7,1,0,1,1,3
ABCE1,1,1,1,0,3
ABCF1,1,1,0,1,3
ABHD17A,1,0,0,0,1
ABT1,1,0,0,1,2
ACIN1,1,0,0,0,1
ACLY,1,0,0,1,2
ACO2,1,0,0,1,2
ACTB,1,1,0,0,2
ACTG1,1,0,0,0,1
ACTL6A,1,1,0,1,3
ACTR10,1,1,1,1,4
ACTR1A,1,0,0,1,2
ACTR2,1,1,1,0,3
ACTR6,1,0,0,1,2
ACTR8,1,0,0,1,2
ADAT3,1,0,0,1,2
ADSL,1,1,0,1,3
ADSS2,1,0,0,0,1
AFG3L2,1,0,1,1,3
AGAP6,1,0,0,0,1
AHCTF1,1,0,0,0,1
AHCY,1,1,0,1,3
AK4,1,0,0,0,1
AK6,1,0,0,0,1
AKIRIN2,1,0,0,1,2
AKR1B15,1,0,0,0,1
AKTIP,1,0,0,0,1
ALDOA,1,0,0,1,2
ALG1,1,1,0,1,3
ALG11,1,0,1,1,3
ALG13,1,0,0,1,2
ALG14,1,1,0,1,3
ALG1L,1,0,1,0,2
ALG2,1,1,0,1,3
ALYREF,1,0,1,1,3
AMD1,1,0,0,0,1
ANAPC1,1,0,1,0,2
ANAPC10,1,0,0,1,2
ANAPC11,1,0,0,1,2
ANAPC13,1,0,0,0,1
ANAPC15,1,0,0,1,2
ANAPC2,1,1,1,1,4
ANAPC4,1,1,1,1,4
ANAPC5,1,1,1,1,4
ANKLE2,1,0,1,1,3
ANKRD65,1,0,0,0,1
ANLN,1,0,0,0,1
AP2M1,1,0,0,0,1
AP2S1,1,0,0,0,1
AQP7,1,0,0,0,1
AQR,1,1,1,1,4
ARCN1,1,1,1,1,4
ARF4,1,0,0,0,1
ARFRP1,1,0,0,1,2
ARGFX,1,0,0,0,1
ARGLU1,1,0,0,1,2
ARHGAP27,1,0,0,0,1
ARIH1,1,1,0,1,3
ARL2,1,1,1,1,4
ARMC7,1,0,0,1,2
ARPC2,1,0,0,0,1
ARPC3,1,0,0,0,1
ARPC4,1,0,0,1,2
ARPP19,1,0,0,0,1
ARTN,1,0,0,0,1
ASCC3,1,0,0,1,2
ATF4,1,0,0,0,1
ATL2,1,0,0,1,2
ATP1A1,1,0,0,1,2
ATP23,1,0,0,0,1
ATP2A2,1,1,1,1,4
ATP5F1A,1,0,0,0,1
ATP5F1B,1,0,0,0,1
ATP5F1C,1,0,0,0,1
ATP5F1D,1,0,0,0,1
ATP5MC1,1,0,0,0,1
ATP5MC2,1,0,0,0,1
ATP5MF,1,0,0,0,1
ATP5MG,1,0,0,0,1
ATP5MGL,1,0,0,0,1
ATP5PB,1,0,0,0,1
ATP5PD,1,0,0,0,1
ATP5PF,1,0,0,0,1
ATP5PO,1,0,0,0,1
ATP6AP1,1,0,0,0,1
ATP6AP2,1,0,0,1,2
ATP6V0B,1,1,0,1,3
ATP6V0C,1,1,1,1,4
ATP6V0D1,1,0,1,1,3
ATP6V1A,1,1,1,1,4
ATP6V1B2,1,0,1,1,3
ATP6V1C1,1,0,0,1,2
ATP6V1D,1,1,0,1,3
ATP6V1E1,1,1,1,1,4
ATP6V1F,1,0,0,0,1
ATP6V1G1,1,0,0,1,2
ATP6V1H,1,0,0,1,2
ATR,1,1,0,1,3
ATRIP,1,0,0,1,2
ATXN10,1,0,0,0,1
AURKA,1,0,0,0,1
AURKAIP1,1,0,0,1,2
AURKB,1,1,1,1,4
BAK1,1,0,0,0,1
BANF1,1,1,1,0,3
BANP,1,0,0,0,1
BARD1,1,0,0,1,2
BCAS2,1,0,1,1,3
BCCIP,1,0,0,1,2
BCL2L1,1,0,0,1,2
BCLAF1,1,0,0,0,1
BDP1,1,0,0,1,2
BET1,1,0,0,0,1
BIRC5,1,1,1,1,4
BMS1,1,0,0,1,2
BNIP1,1,0,0,1,2
BOP1,1,0,0,1,2
BORA,1,0,0,1,2
BPTF,1,0,0,0,1
BRD4,1,0,0,1,2
BRD8,1,0,0,1,2
BRF1,1,0,1,1,3
BRF2,1,0,1,1,3
BRI3,1,0,0,0,1
BRIX1,1,0,1,1,3
BTF3,1,0,0,0,1
BTF3L4,1,0,0,0,1
BUB1,1,0,0,0,1
BUB1B,1,1,0,1,3
BUB3,1,1,1,1,4
BUD13,1,0,0,1,2
BUD23,1,0,0,0,1
BUD31,1,1,0,1,3
BYSL,1,1,0,1,3
C17orf49,1,0,0,0,1
C17orf58,1,0,0,0,1
C18orf21,1,0,0,1,2
C19orf53,1,0,0,0,1
C1D,1,0,0,0,1
C1QBP,1,0,0,1,2
C1orf109,1,1,0,1,3
C1orf122,1,0,0,0,1
C1orf131,1,0,0,1,2
