Gene	t1_gene_score	t1_SIEG_score
A1BG	-0.43390522534592785	-2.6883910847734382
A1CF	-0.4822675265269408	-2.9275387186213795
A2BP1	0.0	-0.5427651442841681
A2LD1	0.0	-0.5427651442841681
A2M	-0.23010418496223717	-1.6806115665679846
A2ML1	-0.23763295196935447	-1.7178407052064788
A4GALT	0.0	-0.5427651442841681
A4GNT	-0.04684117657605054	-0.7743909410569233
AAA1	0.0	-0.5427651442841681
AAAS	0.5016823568876543	1.938013182286517
AACS	-0.03803487384523966	-0.730844492488655
AACSL	0.0	-0.5427651442841681
AADAC	-0.47964372318773907	-2.9145642251640917
AADACL2	-0.19073542531953414	-1.4859362619160825
AADACL3	0.0	-0.5427651442841681
AADACL4	0.0	-0.5427651442841681
AADAT	0.0	-0.5427651442841681
AAGAB	0.0	-0.5427651442841681
AAK1	0.0	-0.5427651442841681
AAMP	0.0	-0.5427651442841681
AANAT	0.0	-0.5427651442841681
AARS	0.2670425374315207	0.7777384174564141
AARS2	0.2491227099285789	0.6891263323893319
AARSD1	0.8127052266019492	3.4759958991629385
AASDH	0.1044635577135337	-0.026201373734361683
AASDHPPT	0.056353556841222674	-0.26410140313892977
AASS	0.0	-0.5427651442841681
AATF	0.5728503845507189	2.2899332730519384
AATK	0.0	-0.5427651442841681
ABAT	0.5498382331770141	2.1761400618857842
ABCA1	-0.02039680428813624	-0.6436256774773728
ABCA10	0.0	-0.5427651442841681
ABCA11P	0.0	-0.5427651442841681
ABCA12	-0.08141066601189414	-0.9453342460698596
ABCA13	-0.08128664333770244	-0.9447209640639966
ABCA17P	0.0	-0.5427651442841681
ABCA2	0.06389030321279911	-0.22683280719415738
ABCA3	0.0017590125969388706	-0.5340669704960315
ABCA4	0.0	-0.5427651442841681
ABCA5	0.0	-0.5427651442841681
ABCA6	-0.15538061464921482	-1.311109607466723
ABCA7	0.0	-0.5427651442841681
ABCA8	0.5552540169272517	2.2029206707003612
ABCA9	-0.03363149529319162	-0.7090701447851074
ABCB1	0.04232885568802269	-0.33345240617864935
ABCB10	0.07366987089448855	-0.17847364284467393
ABCB11	-0.5294650190861354	-3.160926468861819
ABCB4	-0.40728740415553727	-2.5567681305214474
ABCB5	-0.03524631533524003	-0.7170552981528245
