System	Subsystem	Pathways	core >= 3 (706)	non-EG (524)
1. Metabolism	1.0 Global and overview maps	hsa01100: Metabolic pathways	0.01	0.01
1. Metabolism	1.0 Global and overview maps	hsa01200: Carbon metabolism	0.09	0.57
1. Metabolism	1.0 Global and overview maps	hsa01210: 2-Oxocarboxylic acid metabolism	0	0
1. Metabolism	1.0 Global and overview maps	hsa01212: Fatty acid metabolism	0	0
1. Metabolism	1.0 Global and overview maps	hsa01230: Biosynthesis of amino acids	0.08	0.56
1. Metabolism	1.0 Global and overview maps	hsa01240: Biosynthesis of cofactors	0.46	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00010: Glycolysis / Gluconeogenesis	0.11	1.19
1. Metabolism	1.1 Carbohydrate metabolism	hsa00020: Citrate cycle (TCA cycle)	0.43	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00030: Pentose phosphate pathway	0	0.61
1. Metabolism	1.1 Carbohydrate metabolism	hsa00040: Pentose and glucuronate interconversions	0	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00051: Fructose and mannose metabolism	0.38	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00052: Galactose metabolism	0	2.67
1. Metabolism	1.1 Carbohydrate metabolism	hsa00053: Ascorbate and aldarate metabolism	0	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00500: Starch and sucrose metabolism	0	1.24
1. Metabolism	1.1 Carbohydrate metabolism	hsa00520: Amino sugar and nucleotide sugar metabolism	0.21	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00562: Inositol phosphate metabolism	0.08	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00620: Pyruvate metabolism	0	0.38
1. Metabolism	1.1 Carbohydrate metabolism	hsa00630: Glyoxylate and dicarboxylate metabolism	0	0.63
1. Metabolism	1.1 Carbohydrate metabolism	hsa00640: Propanoate metabolism	0	0
1. Metabolism	1.1 Carbohydrate metabolism	hsa00650: Butanoate metabolism	0	0
1. Metabolism	1.10 Biosynthesis of other secondary metabolites	hsa00232: Caffeine metabolism	0	0
1. Metabolism	1.10 Biosynthesis of other secondary metabolites	"hsa00524: Neomycin, kanamycin and gentamicin biosynthesis"	0	0
1. Metabolism	1.11 Xenobiotics biodegradation and metabolism	hsa00980: Metabolism of xenobiotics by cytochrome P450	0	0.18
1. Metabolism	1.11 Xenobiotics biodegradation and metabolism	hsa00982: Drug metabolism - cytochrome P450	0	0.63
1. Metabolism	1.11 Xenobiotics biodegradation and metabolism	hsa00983: Drug metabolism - other enzymes	0.62	0
1. Metabolism	1.2 Energy metabolism	hsa00190: Oxidative phosphorylation	2.27	0.18
1. Metabolism	1.2 Energy metabolism	hsa00910: Nitrogen metabolism	0	0
1. Metabolism	1.2 Energy metabolism	hsa00920: Sulfur metabolism	0	0
1. Metabolism	1.3 Lipid metabolism	hsa00061: Fatty acid biosynthesis	0	0
1. Metabolism	1.3 Lipid metabolism	hsa00062: Fatty acid elongation	0	0
1. Metabolism	1.3 Lipid metabolism	hsa00071: Fatty acid degradation	0	0.43
1. Metabolism	1.3 Lipid metabolism	hsa00072: Synthesis and degradation of ketone bodies	0	0
1. Metabolism	1.3 Lipid metabolism	hsa00100: Steroid biosynthesis	0	0
1. Metabolism	1.3 Lipid metabolism	hsa00120: Primary bile acid biosynthesis	0	0.93
1. Metabolism	1.3 Lipid metabolism	hsa00140: Steroid hormone biosynthesis	0	0.28
1. Metabolism	1.3 Lipid metabolism	hsa00561: Glycerolipid metabolism	0	1.82
1. Metabolism	1.3 Lipid metabolism	hsa00564: Glycerophospholipid metabolism	0.03	0.76
1. Metabolism	1.3 Lipid metabolism	hsa00565: Ether lipid metabolism	0.21	0.36
1. Metabolism	1.3 Lipid metabolism	hsa00590: Arachidonic acid metabolism	0	2.36
1. Metabolism	1.3 Lipid metabolism	hsa00591: Linoleic acid metabolism	0	1.41
1. Metabolism	1.3 Lipid metabolism	hsa00592: alpha-Linolenic acid metabolism	0	0.74
1. Metabolism	1.3 Lipid metabolism	hsa00600: Sphingolipid metabolism	0	0
1. Metabolism	1.3 Lipid metabolism	hsa01040: Biosynthesis of unsaturated fatty acids	0	0
1. Metabolism	1.4 Nucleotide metabolism	hsa00230: Purine metabolism	0.68	0.05
1. Metabolism	1.4 Nucleotide metabolism	hsa00240: Pyrimidine metabolism	1.43	0
1. Metabolism	1.5 Amino acid metabolism	hsa00220: Arginine biosynthesis	0	0
1. Metabolism	1.5 Amino acid metabolism	"hsa00250: Alanine, aspartate and glutamate metabolism"	0.33	0
1. Metabolism	1.5 Amino acid metabolism	"hsa00260: Glycine, serine and threonine metabolism"	0	0
1. Metabolism	1.5 Amino acid metabolism	hsa00270: Cysteine and methionine metabolism	0.6	0
1. Metabolism	1.5 Amino acid metabolism	"hsa00280: Valine, leucine and isoleucine degradation"	0	0
1. Metabolism	1.5 Amino acid metabolism	"hsa00290: Valine, leucine and isoleucine biosynthesis"	0	0
1. Metabolism	1.5 Amino acid metabolism	hsa00310: Lysine degradation	0	0
1. Metabolism	1.5 Amino acid metabolism	hsa00330: Arginine and proline metabolism	0	0
1. Metabolism	1.5 Amino acid metabolism	hsa00340: Histidine metabolism	0	0.81
1. Metabolism	1.5 Amino acid metabolism	hsa00350: Tyrosine metabolism	0	1.22
1. Metabolism	1.5 Amino acid metabolism	hsa00360: Phenylalanine metabolism	0	0
1. Metabolism	1.5 Amino acid metabolism	hsa00380: Tryptophan metabolism	0	0
1. Metabolism	1.5 Amino acid metabolism	"hsa00400: Phenylalanine, tyrosine and tryptophan biosynthesis"	0	0
1. Metabolism	1.6 Metabolism of other amino acids	hsa00410: beta-Alanine metabolism	0	0
1. Metabolism	1.6 Metabolism of other amino acids	hsa00430: Taurine and hypotaurine metabolism	0	0
1. Metabolism	1.6 Metabolism of other amino acids	hsa00440: Phosphonate and phosphinate metabolism	0	0
1. Metabolism	1.6 Metabolism of other amino acids	hsa00450: Selenocompound metabolism	1.54	0
1. Metabolism	1.6 Metabolism of other amino acids	hsa00471: D-Glutamine and D-glutamate metabolism	0	0
1. Metabolism	1.6 Metabolism of other amino acids	hsa00472: D-Arginine and D-ornithine metabolism	0	0
1. Metabolism	1.6 Metabolism of other amino acids	hsa00480: Glutathione metabolism	0.5	0.79
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00510: N-Glycan biosynthesis	3.12	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00511: Other glycan degradation	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00512: Mucin type O-glycan biosynthesis	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00513: Various types of N-glycan biosynthesis	3.01	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00514: Other types of O-glycan biosynthesis	0.22	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00515: Mannose type O-glycan biosynthesis	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00531: Glycosaminoglycan degradation	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00532: Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00533: Glycosaminoglycan biosynthesis - keratan sulfate	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00534: Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00563: Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00601: Glycosphingolipid biosynthesis - lacto and neolacto series	0	0.69
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00603: Glycosphingolipid biosynthesis - globo and isoglobo series	0	0
1. Metabolism	1.7 Glycan biosynthesis and metabolism	hsa00604: Glycosphingolipid biosynthesis - ganglio series	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00130: Ubiquinone and other terpenoid-quinone biosynthesis	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00670: One carbon pool by folate	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00730: Thiamine metabolism	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00740: Riboflavin metabolism	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00750: Vitamin B6 metabolism	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00760: Nicotinate and nicotinamide metabolism	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00770: Pantothenate and CoA biosynthesis	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00780: Biotin metabolism	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00785: Lipoic acid metabolism	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00790: Folate biosynthesis	0	0
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00830: Retinol metabolism	0	0.67
1. Metabolism	1.8 Metabolism of cofactors and vitamins	hsa00860: Porphyrin and chlorophyll metabolism	0.79	0
1. Metabolism	1.9 Metabolism of terpenoids and polyketides	hsa00900: Terpenoid backbone biosynthesis	3.24	0
2. Genetic Information Processing	2.1 Transcription	hsa03020: RNA polymerase	8.81	0
2. Genetic Information Processing	2.1 Transcription	hsa03022: Basal transcription factors	4.19	0
2. Genetic Information Processing	2.2 Translation	hsa00970: Aminoacyl-tRNA biosynthesis	7.86	0
2. Genetic Information Processing	2.2 Translation	hsa03008: Ribosome biogenesis in eukaryotes	10.81	0
2. Genetic Information Processing	2.2 Translation	hsa03013: RNA transport	12.72	0
2. Genetic Information Processing	2.2 Translation	hsa03015: mRNA surveillance pathway	7.01	0
2. Genetic Information Processing	"2.3 Folding, sorting and degradation"	hsa03018: RNA degradation	4.66	0
2. Genetic Information Processing	"2.3 Folding, sorting and degradation"	hsa03060: Protein export	1.28	0
2. Genetic Information Processing	"2.3 Folding, sorting and degradation"	hsa04120: Ubiquitin mediated proteolysis	4.06	0
2. Genetic Information Processing	"2.3 Folding, sorting and degradation"	hsa04122: Sulfur relay system	0	0
2. Genetic Information Processing	"2.3 Folding, sorting and degradation"	hsa04130: SNARE interactions in vesicular transport	0	0
2. Genetic Information Processing	"2.3 Folding, sorting and degradation"	hsa04141: Protein processing in endoplasmic reticulum	1.11	0.02
2. Genetic Information Processing	2.4 Replication and repair	hsa03030: DNA replication	8.4	0
2. Genetic Information Processing	2.4 Replication and repair	hsa03410: Base excision repair	2.73	0
2. Genetic Information Processing	2.4 Replication and repair	hsa03420: Nucleotide excision repair	6.94	0
2. Genetic Information Processing	2.4 Replication and repair	hsa03430: Mismatch repair	5.44	0
2. Genetic Information Processing	2.4 Replication and repair	hsa03440: Homologous recombination	4.81	0
2. Genetic Information Processing	2.4 Replication and repair	hsa03450: Non-homologous end-joining	0.88	0
2. Genetic Information Processing	2.4 Replication and repair	hsa03460: Fanconi anemia pathway	2.48	0
3. Environmental Information Processing	3.1 Membrane transport	hsa02010: ABC transporters	0.24	0.4
3. Environmental Information Processing	3.2 Signal transduction	hsa04010: MAPK signaling pathway	0	0.01
3. Environmental Information Processing	3.2 Signal transduction	hsa04012: ErbB signaling pathway	0.05	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04014: Ras signaling pathway	0	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04015: Rap1 signaling pathway	0	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04020: Calcium signaling pathway	0	0.34
3. Environmental Information Processing	3.2 Signal transduction	hsa04022: cGMP-PKG signaling pathway	0	0.02
3. Environmental Information Processing	3.2 Signal transduction	hsa04024: cAMP signaling pathway	0	0.25
3. Environmental Information Processing	3.2 Signal transduction	hsa04064: NF-kappa B signaling pathway	0.03	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04066: HIF-1 signaling pathway	0.58	0.08
3. Environmental Information Processing	3.2 Signal transduction	hsa04068: FoxO signaling pathway	0.06	0.04
3. Environmental Information Processing	3.2 Signal transduction	hsa04070: Phosphatidylinositol signaling system	0.03	0.1
3. Environmental Information Processing	3.2 Signal transduction	hsa04071: Sphingolipid signaling pathway	0.02	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04072: Phospholipase D signaling pathway	0.01	0.14
3. Environmental Information Processing	3.2 Signal transduction	hsa04150: mTOR signaling pathway	1.59	0
